experiment,strategy,hashFn,params,metrics
vnode-sweep,vnode-ring,murmur3,"{""vnodeCount"":500,""nodeCount"":8}","{""coefficientOfVariation"":0.0214,""bytesApprox"":176000,""buildTimeMs"":4.16,""lookupOpsPerSec"":5729565}"
vnode-sweep,vnode-ring,murmur3,"{""vnodeCount"":1000,""nodeCount"":8}","{""coefficientOfVariation"":0.0228,""bytesApprox"":352000,""buildTimeMs"":9.271,""lookupOpsPerSec"":5483953}"
vnode-sweep,vnode-ring,md5,"{""vnodeCount"":1,""nodeCount"":8}","{""coefficientOfVariation"":1.2647,""bytesApprox"":352,""buildTimeMs"":0.084,""lookupOpsPerSec"":1429116}"
vnode-sweep,vnode-ring,md5,"{""vnodeCount"":10,""nodeCount"":8}","{""coefficientOfVariation"":0.2476,""bytesApprox"":3520,""buildTimeMs"":0.255,""lookupOpsPerSec"":1389806}"
vnode-sweep,vnode-ring,md5,"{""vnodeCount"":50,""nodeCount"":8}","{""coefficientOfVariation"":0.1157,""bytesApprox"":17600,""buildTimeMs"":1.202,""lookupOpsPerSec"":1368447}"
vnode-sweep,vnode-ring,md5,"{""vnodeCount"":100,""nodeCount"":8}","{""coefficientOfVariation"":0.1012,""bytesApprox"":35200,""buildTimeMs"":2.414,""lookupOpsPerSec"":1360245}"
vnode-sweep,vnode-ring,md5,"{""vnodeCount"":150,""nodeCount"":8}","{""coefficientOfVariation"":0.0514,""bytesApprox"":52800,""buildTimeMs"":3.616,""lookupOpsPerSec"":1067794}"
vnode-sweep,vnode-ring,md5,"{""vnodeCount"":500,""nodeCount"":8}","{""coefficientOfVariation"":0.0437,""bytesApprox"":176000,""buildTimeMs"":12.67,""lookupOpsPerSec"":1292074}"
vnode-sweep,vnode-ring,md5,"{""vnodeCount"":1000,""nodeCount"":8}","{""coefficientOfVariation"":0.0266,""bytesApprox"":352000,""buildTimeMs"":30.181,""lookupOpsPerSec"":1275435}"
weighted-nodes,vnode-ring,murmur3,"{""keys"":300000,""nodeId"":""node-w1"",""weight"":1}","{""keysReceived"":54130,""keysPerWeightUnit"":54130}"
weighted-nodes,vnode-ring,murmur3,"{""keys"":300000,""nodeId"":""node-w2"",""weight"":2}","{""keysReceived"":103367,""keysPerWeightUnit"":51684}"
weighted-nodes,vnode-ring,murmur3,"{""keys"":300000,""nodeId"":""node-w3"",""weight"":3}","{""keysReceived"":142503,""keysPerWeightUnit"":47501}"
weighted-nodes,vnode-ring,md5,"{""keys"":300000,""nodeId"":""node-w1"",""weight"":1}","{""keysReceived"":45010,""keysPerWeightUnit"":45010}"
weighted-nodes,vnode-ring,md5,"{""keys"":300000,""nodeId"":""node-w2"",""weight"":2}","{""keysReceived"":99108,""keysPerWeightUnit"":49554}"
weighted-nodes,vnode-ring,md5,"{""keys"":300000,""nodeId"":""node-w3"",""weight"":3}","{""keysReceived"":155882,""keysPerWeightUnit"":51961}"
